Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,36,36,36,,251.6533149809984,None,1500,253.6603811949899,None,None,253.6603811949899,None,1.5,37,255.18413825100288,None,None,0,255.18413825100288,None,You did not win $0.20!,-15.799999999999999,2,30,0.5,18.91891891891892,0.35413226185898694,[],16.666666666666664,30,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,1500,0,37,37,37,,257.1542830010003,None,1500,259.1783104269998,None,None,259.1783104269998,None,1.5,38,260.6768085289805,None,None,0,260.6768085289805,None,You lost $0.20!,-15.999999999999998,5,31,0.5,18.421052631578945,0.35413226185898694,[0],16.666666666666664,30,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,1500,0,38,38,38,,262.6549173499807,None,1500,264.66145334299654,None,None,264.66145334299654,None,1.5,39,266.17716015997576,None,None,0,266.17716015997576,None,You lost $5.00!,-21.0,4,32,0.5,17.94871794871795,0.35413226185898694,"[0, 0]",16.666666666666664,30,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,1500,0,39,39,39,,268.15464428797713,None,1500,270.1625920829829,None,None,270.1625920829829,None,1.5,40,271.6773160150042,None,None,0,271.6773160150042,None,You did not win or lose anything!,-21.0,3,32,0.5,17.5,0.35413226185898694,"[0, 0]",16.666666666666664,30,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,2500,0,40,40,40,,273.65549614297925,None,2500,275.6628234410018,None,None,275.6628234410018,None,1.5,41,278.17865275099757,None,None,0,278.17865275099757,None,You did not win or lose anything!,-21.0,3,32,0.5,17.073170731707318,0.35413226185898694,"[0, 0]",16.666666666666664,30,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,1500,0,41,41,41,,280.15555571898585,None,1500,282.16326041700086,None,None,282.16326041700086,None,1.5,42,283.6795587060042,None,None,0,283.6795587060042,None,You lost $5.00!,-26.0,4,33,0.5,16.666666666666664,0.35413226185898694,[],0.0,33,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,4000,0,42,42,42,,285.6558108110039,None,4000,287.66066452499945,None,None,287.66066452499945,None,1.5,43,291.6807808689773,None,None,0,291.6807808689773,None,You lost $5.00!,-31.0,4,34,0.5,16.27906976744186,0.35413226185898694,[0],0.0,33,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,3500,0,43,43,43,,293.656018847978,None,3500,295.66481238399865,None,None,295.66481238399865,None,1.5,44,299.1808722409769,None,None,0,299.1808722409769,None,You did not win or lose anything!,-31.0,3,34,0.5,15.909090909090908,0.35413226185898694,[0],0.0,33,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,1500,0,44,44,44,,301.15674062797916,None,1500,303.1624518559838,None,None,303.1624518559838,None,1.5,45,304.7203042199835,None,None,0,304.7203042199835,None,You did not win $0.20!,-31.0,2,35,0.5,15.555555555555555,0.35413226185898694,"[0, 0]",0.0,33,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,2000,0,45,45,45,,306.65702975398744,None,2000,308.6672658419993,None,None,308.6672658419993,None,1.5,46,310.6870320979797,None,None,0,310.6870320979797,None,You did not win $5.00!,-31.0,1,36,0.5,15.217391304347828,0.35413226185898694,[],0.0,36,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,1500,0,46,46,46,,312.6574215349974,None,1500,314.6676350069756,None,None,314.6676350069756,None,1.5,47,316.1863378720009,None,1,1,316.1863378720009,None,You won $5.00!,-26.0,1,37,0.5,17.02127659574468,0.35081927550345426,[1],0.0,36,3,0.3276283710147254,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,3000,0,47,47,47,,318.15874565398553,None,3000,320.16739264599164,None,None,320.16739264599164,None,1.5,48,323.1832940839813,None,1,1,323.1832940839813,None,You did not lose $5.00!,-26.0,4,38,0.5,18.75,0.34869176322697765,"[1, 1]",0.0,36,3,0.33167166501516476,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,3500,0,48,48,48,,325.1575164269889,None,3500,327.1688307430013,None,None,327.1688307430013,None,1.5,49,330.67634275299497,None,1,1,330.67634275299497,None,You did not lose $5.00!,-26.0,4,39,0.5,20.408163265306122,0.3457711981056491,[],50.0,39,3,0.31948611201369204,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,2500,0,49,49,49,,332.6579610669869,None,2500,334.6619913169998,None,None,334.6619913169998,None,1.5,50,337.18573178499355,None,None,0,337.18573178499355,None,You lost $5.00!,-31.0,4,40,0.5,20.0,0.3457711981056491,[0],50.0,39,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
