Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,4000,0,35,35,35,,248.33867329196073,None,4000,250.36626733699813,None,None,250.36626733699813,None,1.6300000000000001,36,254.4058114530053,None,None,0,254.4058114530053,None,You lost $0.20!,5.199999999999999,5,28,0.36999999999999983,52.77777777777778,0.2978379380472593,[0],66.66666666666666,27,3,None,,0.4881244049803352,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,1500,0,36,36,36,,256.4400062210043,None,1500,258.46742077200906,None,None,258.46742077200906,None,1.6300000000000001,37,260.0064778229571,None,None,0,260.0064778229571,None,You did not win or lose anything!,5.199999999999999,3,28,0.36999999999999983,51.35135135135135,0.2978379380472593,[0],66.66666666666666,27,3,1,0.02355729299597442,0.39355729299597425,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,2000,0,37,37,37,,262.0405417639995,None,2000,264.0682138229604,None,None,264.0682138229604,None,1.6300000000000001,38,266.1029514949769,None,1,1,266.1029514949769,None,You did not lose $0.20!,5.199999999999999,5,29,0.36999999999999983,52.63157894736842,0.29524362009542526,"[0, 1]",66.66666666666666,27,3,None,,0.24595157901057974,0.24595157901057974,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,2500,0,38,38,38,,268.152418196958,None,2500,270.1867735069827,None,None,270.1867735069827,None,1.6300000000000001,39,272.73575515596895,None,1,1,272.73575515596895,None,You won $5.00!,10.2,1,30,0.38999999999999985,53.84615384615385,0.29342943775589536,[],49.99999999999999,30,3,None,,0.25714579096529633,0.25714579096529633,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,1500,0,39,39,39,,274.78707595396554,None,1500,276.82039956597146,None,None,276.82039956597146,None,1.61,40,278.370032399951,None,None,0,278.370032399951,None,You did not win $5.00!,10.2,1,31,0.38999999999999985,52.5,0.29342943775589536,[0],49.99999999999999,30,3,1,0.11011913197580725,0.5001191319758072,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgPun,1500,0,40,40,40,,280.4083628539811,None,1500,282.4376732269884,None,None,282.4376732269884,None,1.61,41,283.9708091779612,None,1,1,283.9708091779612,None,You did not lose $5.00!,10.2,4,32,0.38999999999999985,53.65853658536586,0.2933279931312427,"[0, 1]",49.99999999999999,30,3,None,,0.2911976560135372,0.2911976560135372,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,2000,0,41,41,41,,286.02505626896163,None,2000,288.05537431896664,None,None,288.05537431896664,None,1.61,42,290.0888337770011,None,1,1,290.0888337770011,None,You did not lose $0.20!,10.2,5,33,0.36999999999999983,54.761904761904766,0.29092985056037,[],66.66666666666666,33,3,None,,0.2381707140011713,0.2381707140011713,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,1500,0,42,42,42,,292.13847745297244,None,1500,294.15606071497314,None,None,294.15606071497314,None,1.6300000000000001,43,295.7058785649715,None,1,1,295.7058785649715,None,You won $5.00!,15.2,1,34,0.36999999999999983,55.81395348837209,0.2929383100369402,[1],66.66666666666666,33,3,None,,0.339132877998054,0.339132877998054,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,1500,0,43,43,43,,297.75566172995605,None,1500,299.7904115229612,None,None,299.7904115229612,None,1.6300000000000001,44,301.32339208200574,None,1,1,301.32339208200574,None,You did not lose $0.20!,15.2,5,35,0.36999999999999983,56.81818181818182,0.2926011305558495,"[1, 1]",66.66666666666666,33,3,None,,0.2845088230096735,0.2845088230096735,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,1500,0,44,44,44,,303.37303660198813,None,1500,305.4076919700019,None,None,305.4076919700019,None,1.6300000000000001,45,306.95688199199503,None,None,0,306.95688199199503,None,You did not win $0.20!,15.2,2,36,0.3499999999999998,55.55555555555556,0.2926011305558495,[],66.66666666666666,36,3,1,0.1528480220003985,0.5028480220003984,,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
LgReward,4000,0,45,45,45,,309.0073937639827,None,4000,311.04111605597427,None,None,311.04111605597427,None,1.6500000000000001,46,315.09149064699886,None,1,1,315.09149064699886,None,You won $5.00!,20.2,1,37,0.3499999999999998,56.52173913043478,0.2911762743046543,[1],66.66666666666666,36,3,None,,0.2555548680247739,0.2555548680247739,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
Triangle,3000,0,46,46,46,,317.1275868539815,None,3000,319.1590014289832,None,None,319.1590014289832,None,1.6500000000000001,47,322.19227461796254,None,None,0,322.19227461796254,None,You did not win or lose anything!,20.2,3,37,0.3499999999999998,55.319148936170215,0.2911762743046543,[1],66.66666666666666,36,3,1,0.2208979880088009,0.5708979880088008,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,3000,0,47,47,47,,324.22765991900815,None,3000,326.259940688964,None,None,326.259940688964,None,1.6500000000000001,48,329.2933668909827,None,1,1,329.2933668909827,None,You did not lose $0.20!,20.2,5,38,0.3499999999999998,56.25,0.29152300788512175,"[1, 1]",66.66666666666666,36,3,None,,0.30053808097727597,0.30053808097727597,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallPun,2500,0,48,48,48,,331.3278913240065,None,2500,333.36132450198056,None,None,333.36132450198056,None,1.6500000000000001,49,335.8945691359695,None,None,0,335.8945691359695,None,You lost $0.20!,20.0,5,39,0.3299999999999998,55.10204081632652,0.29152300788512175,[],66.66666666666666,39,3,None,,0.30053808097727597,,Adjusting RT...,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
SmallReward,2000,0,49,49,49,,337.9449633799959,None,2000,339.97916994296247,None,None,339.97916994296247,None,1.6700000000000002,50,342.0289850459667,None,1,1,342.0289850459667,None,You won $0.20!,20.2,2,40,0.3299999999999998,56.00000000000001,0.2908264447095072,[1],66.66666666666666,39,3,None,,0.27201923896791413,0.27201923896791413,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,Scanner,2,2019_Aug_31_1654,MID,3.1.5,60.01039776432445,
