Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur.1,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,Unnamed: 47,Unnamed: 46,Unnamed: 44,Unnamed: 45,Unnamed: 7,Unnamed: 43
LgReward,3000.0,0.0,32.0,32.0,32.0,,240.08090000399898,None,3000.0,242.11498289700103,None,None,242.11498289700103,None,1.6700000000000002,33.0,245.1651788870004,None,1,1.0,245.1651788870004,None,You won $5.00!,10.6,1.0,26.0,0.3299999999999999,60.60606060606061,0.24765786254993144,"[1, 1]",33.33333333333333,24.0,3.0,None,,0.28415639699960593,0.28415639699960593,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,3500.0,0.0,33.0,33.0,33.0,,247.21502894000147,None,3500.0,249.2491869170008,None,None,249.2491869170008,None,1.6700000000000002,34.0,252.7827644589997,None,None,0.0,252.7827644589997,None,You did not win or lose anything!,10.6,3.0,26.0,0.3299999999999999,58.82352941176471,0.24765786254993144,"[1, 1]",33.33333333333333,24.0,3.0,1,0.045000082998740254,0.37500008299874016,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,3000.0,0.0,34.0,34.0,34.0,,254.8161723109988,None,3000.0,256.8504192190012,None,None,256.8504192190012,None,1.6700000000000002,35.0,259.8831977459995,None,1,1.0,259.8831977459995,None,You did not win or lose anything!,10.6,3.0,26.0,0.3299999999999999,60.0,0.25010836342837484,"[1, 1]",33.33333333333333,24.0,3.0,None,,0.29911838099724264,0.29911838099724264,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,1500.0,0.0,35.0,35.0,35.0,,261.9334528370018,None,1500.0,263.9672760329995,None,None,263.9672760329995,None,1.6700000000000002,36.0,265.50032324700084,None,1,1.0,265.50032324700084,None,You did not lose $5.00!,10.6,4.0,27.0,0.29999999999999993,61.111111111111114,0.249927930545296,[],83.33333333333333,27.0,3.0,None,,0.2461388400006399,0.2461388400006399,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,1500.0,0.0,36.0,36.0,36.0,,267.56706933900205,None,1500.0,269.5838480970014,None,None,269.5838480970014,None,1.7000000000000002,37.0,271.1339845770017,None,1,1.0,271.1339845770017,None,You won $5.00!,15.6,1.0,28.0,0.29999999999999993,62.16216216216216,0.2502123269998423,[1],83.33333333333333,27.0,3.0,None,,0.2564690489998611,0.2564690489998611,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,3500.0,0.0,37.0,37.0,37.0,,273.16730279400144,None,3500.0,275.2011114999986,None,None,275.2011114999986,None,1.7000000000000002,38.0,278.7340221480008,None,None,0.0,278.7340221480008,None,You lost $5.00!,10.6,4.0,29.0,0.29999999999999993,60.526315789473685,0.2502123269998423,"[1, 0]",83.33333333333333,27.0,3.0,None,,0.2564690489998611,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,1500.0,0.0,38.0,38.0,38.0,,280.7676564770009,None,1500.0,282.80085494800005,None,None,282.80085494800005,None,1.7000000000000002,39.0,284.33420180699983,None,1,1.0,284.33420180699983,None,You did not lose $5.00!,10.6,4.0,30.0,0.2699999999999999,61.53846153846154,0.25075557362485296,[],83.33333333333333,30.0,3.0,None,,0.26325024600009783,0.26325024600009783,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,2500.0,0.0,39.0,39.0,39.0,,286.3681288900006,None,2500.0,288.40202879299983,None,None,288.40202879299983,None,1.73,40.0,290.93495319000067,None,None,0.0,290.93495319000067,None,You lost $0.20!,10.400000000000002,5.0,31.0,0.2699999999999999,60.0,0.25075557362485296,[0],83.33333333333333,30.0,3.0,1,0.010871776001295077,0.280871776001295,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,1500.0,0.0,40.0,40.0,40.0,,292.9843457030001,None,1500.0,295.01892206900084,None,None,295.01892206900084,None,1.73,41.0,296.56875237799983,None,None,0.0,296.56875237799983,None,You did not win $5.00!,10.400000000000002,1.0,32.0,0.2699999999999999,58.536585365853654,0.25075557362485296,"[0, 0]",83.33333333333333,30.0,3.0,1,0.0031324510018748697,0.2731324510018748,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,1500.0,0.0,41.0,41.0,41.0,,298.61909021799875,None,1500.0,300.6530008209993,None,None,300.6530008209993,None,1.73,42.0,302.18524184600034,None,1,1.0,302.18524184600034,None,You did not lose $0.20!,10.400000000000002,5.0,33.0,0.2899999999999999,59.523809523809526,0.2492541369998071,[],49.99999999999999,33.0,3.0,None,,0.21321965799870668,0.21321965799870668,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,2000.0,0.0,42.0,42.0,42.0,,304.21931893999863,None,2000.0,306.2532919559999,None,None,306.2532919559999,None,1.71,43.0,308.2858806719996,None,1,1.0,308.2858806719996,None,You did not win or lose anything!,10.400000000000002,3.0,33.0,0.2899999999999999,60.465116279069754,0.24860878449978305,[],49.99999999999999,33.0,3.0,None,,0.23247497199918146,0.23247497199918146,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,4000.0,0.0,43.0,43.0,43.0,,310.31909551900026,None,4000.0,312.3524356400012,None,None,312.3524356400012,None,1.71,44.0,316.3866960640007,None,None,0.0,316.3866960640007,None,You lost $5.00!,5.400000000000002,4.0,34.0,0.2899999999999999,59.09090909090909,0.24860878449978305,[0],49.99999999999999,33.0,3.0,1,-0.0014557579997926948,0.28854424200020723,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,1500.0,0.0,44.0,44.0,44.0,,318.4526849739996,None,1500.0,320.48722612599886,None,None,320.48722612599886,None,1.71,45.0,322.0373622280022,None,None,0.0,322.0373622280022,None,You did not win $0.20!,5.400000000000002,2.0,35.0,0.2899999999999999,57.77777777777778,0.24860878449978305,"[0, 0]",49.99999999999999,33.0,3.0,1,-0.009927109997079242,0.2800728900029207,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
