Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,36,36,36,,255.77543391499785,None,2000,257.78553879400715,None,None,,257.78553879400715,None,1.5,37,259.7941363819991,None,None,0,259.7941363819991,None,You lost $0.20!,-5.000000000000001,5,29,0.5,37.83783783783784,0.29886371335097855,"[1, 0]",33.33333333333333,27,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,1500,0,37,37,37,,261.7756460290111,None,1500,263.78726603099494,None,None,,263.78726603099494,None,1.5,38,265.2933329619991,None,None,0,265.2933329619991,None,You lost $5.00!,-10.0,4,30,0.5,36.84210526315789,0.29886371335097855,[],33.33333333333333,30,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgPun,3500,0,38,38,38,,267.2759449510195,None,3500,269.28758841301897,None,None,,269.28758841301897,None,1.5,39,272.7895797030069,None,None,0,272.7895797030069,None,You lost $5.00!,-15.0,4,31,0.5,35.8974358974359,0.29886371335097855,[0],33.33333333333333,30,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,3000,0,39,39,39,,274.77623729000334,None,3000,276.78765149999526,None,None,,276.78765149999526,None,1.5,40,279.8040316370025,None,1,1,279.8040316370025,None,You did not lose $0.20!,-15.0,5,32,0.5,37.5,0.30068939966149627,"[0, 1]",33.33333333333333,30,3,,0.32624900800874457,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,2000,0,40,40,40,,281.776339286007,None,2000,283.7816655570059,None,None,,283.7816655570059,None,1.5,41,285.80830503001926,None,None,0,285.80830503001926,None,You did not win $5.00!,-15.0,1,33,0.5,36.58536585365854,0.30068939966149627,[],33.33333333333333,33,3,Adjusting RT...,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,1500,0,41,41,41,,287.7783452110016,None,1500,289.78972196401446,None,None,,289.78972196401446,None,1.5,42,291.2960574320168,None,None,0,291.2960574320168,None,You lost $0.20!,-15.2,5,34,0.5,35.714285714285715,0.30068939966149627,[0],33.33333333333333,33,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,1500,0,42,42,42,,293.27635188100976,None,1500,295.2907167960075,None,None,,295.2907167960075,None,1.5,43,296.81007894300274,None,1,1,296.81007894300274,None,You won $0.20!,-15.0,2,35,0.5,37.2093023255814,0.3014714744331286,"[0, 1]",33.33333333333333,33,3,,0.31320259600761347,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,1500,0,43,43,43,,298.77900500499527,None,1500,300.79075573800947,None,None,,300.79075573800947,None,1.5,44,302.30881470200256,None,1,1,302.30881470200256,None,You won $0.20!,-14.8,2,36,0.5,38.63636363636363,0.30335538817384716,[],49.99999999999999,36,3,Adjusting RT...,0.33349800802534446,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
LgReward,1500,0,44,44,44,,304.2790715790179,None,1500,306.2922366319981,None,None,,306.2922366319981,None,1.5,45,307.81161078301375,None,1,1,307.81161078301375,None,You won $5.00!,-9.8,1,37,0.5,40.0,0.3066520099431121,[1],49.99999999999999,36,3,,0.36269458002061583,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,1500,0,45,45,45,,309.77944569001556,None,1500,311.7933958359936,None,1,0.6229114200104959,311.7933958359936,None,1.5,46,313.2979811319965,None,None,0,313.2979811319965,None,You did not win or lose anything!,-9.8,3,37,0.5,39.130434782608695,0.3066520099431121,[1],49.99999999999999,36,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,1500,0,46,46,46,,315.2781205550127,None,1500,317.29389099401305,None,None,,317.29389099401305,None,1.5,47,318.79813929699594,None,None,0,318.79813929699594,None,You lost $0.20!,-10.0,5,38,0.5,38.297872340425535,0.3066520099431121,"[1, 0]",49.99999999999999,36,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallPun,2500,0,47,47,47,,320.7771871460136,None,2500,322.79440600500675,None,1,0.41390195200801827,322.79440600500675,None,1.5,48,325.29687546700006,None,1,1,325.29687546700006,None,You did not lose $0.20!,-10.0,5,39,0.48,39.58333333333333,0.30827168184087467,[],66.66666666666666,39,3,Adjusting RT...,0.3374257760006003,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
Triangle,3000,0,48,48,48,,327.2776825110195,None,3000,329.2952476030041,None,1,1.1219502309977543,329.2952476030041,None,1.52,49,332.2967231570219,None,None,0,332.2967231570219,None,You did not win or lose anything!,-10.0,3,39,0.48,38.775510204081634,0.30827168184087467,[],66.66666666666666,39,3,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
SmallReward,2000,0,49,49,49,,334.23740485301823,None,2000,336.2473243520071,None,None,,336.2473243520071,None,1.52,50,338.25516781400074,None,1,1,338.25516781400074,None,You won $0.20!,-9.8,2,40,0.48,40.0,0.3086629497993272,[1],66.66666666666666,39,3,,0.3160970410099253,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,036,Scanner,1,2019_Aug_25_0950,MID,3.1.5,23.93116243320445,
