Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,34,34,34,,260.0209910100093,None,1500,262.0393718999985,None,None,262.0393718999985,None,1.52,35,263.5550418320054,None,1,1,263.5550418320054,None,You won $0.20!,5.4,2,27,0.44999999999999984,45.714285714285715,0.3687880861252779,[],83.33333333333333,27,3,None,0.37488215698977,Adjusting RT...,,0.37488215698977,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,4000,0,35,35,35,,265.5621728769911,None,4000,267.57328729800065,None,None,267.57328729800065,None,1.5500000000000003,36,271.58070569401025,None,1,1,271.58070569401025,None,You did not lose $0.20!,5.4,5,28,0.44999999999999984,47.22222222222222,0.3681003431180109,[1],83.33333333333333,27,3,None,0.3570964550017379,,,0.3570964550017379,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,1500,0,36,36,36,,273.60320660998696,None,1500,275.6258203269972,None,None,275.6258203269972,None,1.5500000000000003,37,277.12477011300507,None,None,0,277.12477011300507,None,You did not win or lose anything!,5.4,3,28,0.44999999999999984,45.94594594594595,0.3681003431180109,[1],83.33333333333333,27,3,None,0.3570964550017379,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,2000,0,37,37,37,,279.1458427440084,None,2000,281.1569046730001,None,None,281.1569046730001,None,1.5500000000000003,38,283.16441957998904,None,None,0,283.16441957998904,None,You lost $0.20!,5.2,5,29,0.44999999999999984,44.73684210526316,0.3681003431180109,"[1, 0]",83.33333333333333,27,3,1,0.5114032110024708,,0.061403211002470925,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,2500,0,38,38,38,,285.18822766200174,None,2500,287.1937584010011,None,None,287.1937584010011,None,1.5500000000000003,39,289.72555044299224,None,1,1,289.72555044299224,None,You won $5.00!,10.2,1,30,0.4199999999999998,46.15384615384615,0.3679486997231531,[],83.33333333333333,30,3,None,0.3653707620105706,Adjusting RT...,,0.3653707620105706,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,1500,0,39,39,39,,291.7303218760062,None,1500,293.73091802498675,None,None,293.73091802498675,None,1.58,40,295.25872930701007,None,None,0,295.25872930701007,None,You did not win $5.00!,10.2,1,31,0.4199999999999998,45.0,0.3679486997231531,[0],83.33333333333333,30,3,None,0.3653707620105706,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgPun,1500,0,40,40,40,,297.27227691499866,None,1500,299.2788786639867,None,None,299.2788786639867,None,1.58,41,300.79422698699636,None,1,1,300.79422698699636,None,You did not lose $5.00!,10.2,4,32,0.4199999999999998,46.34146341463415,0.36604046773802684,"[0, 1]",83.33333333333333,30,3,None,0.331692292005755,,,0.331692292005755,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,2000,0,41,41,41,,302.81402097898535,None,2000,304.82719221300795,None,None,304.82719221300795,None,1.58,42,306.83202314798837,None,1,1,306.83202314798837,None,You did not lose $0.20!,10.2,5,33,0.3999999999999998,47.61904761904761,0.3650333936515381,[],66.66666666666666,33,3,None,0.3458989860082511,Adjusting RT...,,0.3458989860082511,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,1500,0,42,42,42,,308.85469900400494,None,1500,310.861381160008,None,None,310.861381160008,None,1.6,43,312.3866694770113,None,1,1,312.3866694770113,None,You won $5.00!,15.2,1,34,0.3999999999999998,48.837209302325576,0.3622339732398922,[1],66.66666666666666,33,3,None,0.3062455650069751,,,0.3062455650069751,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,1500,0,43,43,43,,314.3995433730015,None,1500,316.4129394509946,None,None,316.4129394509946,None,1.6,44,317.9154148790112,None,None,0,317.9154148790112,None,You lost $0.20!,15.0,5,35,0.3999999999999998,47.72727272727273,0.3622339732398922,"[1, 0]",66.66666666666666,33,3,1,0.4148309359792618,,0.014830935979261994,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,1500,0,44,44,44,,319.8979765599943,None,1500,321.9137776319985,None,None,321.9137776319985,None,1.6,45,323.4419532860047,None,None,0,323.4419532860047,None,You did not win $0.20!,15.0,2,36,0.4199999999999998,46.666666666666664,0.3622339732398922,[],49.99999999999999,36,3,None,0.4148309359792618,Adjusting RT...,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
LgReward,4000,0,45,45,45,,325.44008303200826,None,4000,327.45048515399685,None,None,327.45048515399685,None,1.58,46,331.46887230398715,None,None,0,331.46887230398715,None,You did not win $5.00!,15.0,1,37,0.4199999999999998,45.65217391304348,0.3622339732398922,[0],49.99999999999999,36,3,None,0.4148309359792618,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
Triangle,3000,0,46,46,46,,333.48224877301254,None,3000,335.4988769509946,None,None,335.4988769509946,None,1.58,47,338.4991922409972,None,None,0,338.4991922409972,None,You did not win or lose anything!,15.0,3,37,0.4199999999999998,44.680851063829785,0.3622339732398922,[0],49.99999999999999,36,3,None,0.4148309359792618,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,3000,0,47,47,47,,340.5255601349927,None,3000,342.5326788839884,None,None,342.5326788839884,None,1.58,48,345.5395442050067,None,1,1,345.5395442050067,None,You did not lose $0.20!,15.0,5,38,0.4199999999999998,45.83333333333333,0.360603734682875,"[0, 1]",49.99999999999999,36,3,None,0.32636872498551384,,,0.32636872498551384,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallPun,2500,0,48,48,48,,347.56477723500575,None,2500,349.5836777499935,None,None,349.5836777499935,None,1.58,49,352.08418162100133,None,None,0,352.08418162100133,None,You lost $0.20!,14.8,5,39,0.4599999999999998,44.89795918367347,0.360603734682875,[],33.33333333333333,39,3,1,0.4511826559982726,Adjusting RT...,-0.008817344001727179,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
SmallReward,2000,0,49,49,49,,354.1079072020075,None,2000,356.11704849801026,None,None,356.11704849801026,None,1.5400000000000003,50,358.1372569669911,None,1,1,358.1372569669911,None,You won $0.20!,15.0,2,40,0.4599999999999998,46.0,0.3612151518704511,[1],33.33333333333333,39,3,None,0.374666329997126,,,0.374666329997126,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,023,Scanner,2,2019_Aug_29_0941,MID,3.1.5,24.01211914746391,
