Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2000,0,35,35,35,,245.70717004899052,None,2000,247.71290048101218,None,None,247.71290048101218,None,1.5,36,249.72877425901243,None,None,0,249.72877425901243,None,You lost $5.00!,-25.4,4,26,0.5,30.555555555555557,0.35869490836260165,"[0, 0]",33.33333333333333,24,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,3000,0,36,36,36,,251.7055944300082,None,3000,253.71321759501006,None,None,253.71321759501006,None,1.5,37,256.7361359670176,None,None,0,256.7361359670176,None,You did not win $0.20!,-25.4,2,27,0.5,29.72972972972973,0.35869490836260165,[],16.666666666666664,27,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,3500,0,37,37,37,,258.7076384620159,None,3500,260.71436892001657,None,None,260.71436892001657,None,1.5,38,264.2468641400046,None,None,0,264.2468641400046,None,You did not win $5.00!,-25.4,1,28,0.5,28.947368421052634,0.35869490836260165,[0],16.666666666666664,27,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,2000,0,38,38,38,,266.2059503700002,None,2000,268.2145633659966,None,None,268.2145633659966,None,1.5,39,270.23091345999273,None,1,1,270.23091345999273,None,You did not lose $0.20!,-25.4,5,29,0.5,30.76923076923077,0.35915720474925666,"[0, 1]",16.666666666666664,27,3,0.36424246500246227,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,4000,0,39,39,39,,272.20662664901465,None,4000,274.2157943469938,None,None,274.2157943469938,None,1.5,40,278.23909407499013,None,None,0,278.23909407499013,None,You did not win $0.20!,-25.4,2,30,0.5,30.0,0.35915720474925666,[],16.666666666666664,30,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,1500,0,40,40,40,,280.2065194210154,None,1500,282.2176763479947,None,None,282.2176763479947,None,1.5,41,283.73326367899426,None,None,0,283.73326367899426,None,You lost $0.20!,-25.599999999999998,5,31,0.5,29.268292682926827,0.35915720474925666,[0],16.666666666666664,30,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,2000,0,41,41,41,,285.7074702579994,None,2000,287.71766298401053,None,None,287.71766298401053,None,1.5,42,289.75066699500894,None,None,0,289.75066699500894,None,You did not win $0.20!,-25.599999999999998,2,32,0.5,28.57142857142857,0.35915720474925666,"[0, 0]",16.666666666666664,30,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallReward,1500,0,42,42,42,,291.70918340800563,None,1500,293.7181266400148,None,None,293.7181266400148,None,1.5,43,295.23845960199833,None,1,1,295.23845960199833,None,You won $0.20!,-25.4,2,33,0.5,30.23255813953488,0.36012404815231164,[],33.33333333333333,33,3,0.37172616898897104,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,1500,0,43,43,43,,297.209178109013,None,1500,299.2184359660023,None,None,299.2184359660023,None,1.5,44,300.7353917520086,None,1,1,300.7353917520086,None,You did not lose $0.20!,-25.4,5,34,0.5,31.818181818181817,0.3604556674274915,[1],33.33333333333333,33,3,0.3647667180048302,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,1500,0,44,44,44,,302.7076725490042,None,1500,304.71979937999276,None,None,304.71979937999276,None,1.5,45,306.2255226180132,None,1,1,306.2255226180132,None,You did not lose $0.20!,-25.4,5,35,0.5,33.33333333333333,0.3613337959997201,"[1, 1]",33.33333333333333,33,3,0.37362759601091966,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,2000,0,45,45,45,,308.20800275501097,None,2000,310.2201847569959,None,None,310.2201847569959,None,1.5,46,312.24103466499946,None,None,0,312.24103466499946,None,You did not win $5.00!,-25.4,1,36,0.5,32.608695652173914,0.3613337959997201,[],49.99999999999999,36,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgPun,4000,0,46,46,46,,314.2099491819972,None,4000,316.2216885620146,None,1,316.2216885620146,None,1.5,47,320.2257170689991,None,None,0,320.2257170689991,None,You lost $5.00!,-30.4,4,37,0.5,31.914893617021278,0.3613337959997201,[0],49.99999999999999,36,3,,,1.5024713420134503,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,3000,0,47,47,47,,322.2087611439929,None,3000,324.2226115989906,None,None,324.2226115989906,None,1.5,48,327.2261899349978,None,None,0,327.2261899349978,None,You lost $0.20!,-30.599999999999998,5,38,0.5,31.25,0.3613337959997201,"[0, 0]",49.99999999999999,36,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
LgReward,2500,0,48,48,48,,329.20934130999376,None,2500,331.2229737559974,None,None,331.2229737559974,None,1.5,49,333.7410810610163,None,None,0,333.7410810610163,None,You did not win $5.00!,-30.599999999999998,1,39,0.5,30.612244897959183,0.3613337959997201,[],33.33333333333333,39,3,,Adjusting RT...,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
SmallPun,3500,0,49,49,49,,335.70988577001845,None,3500,337.7235767169914,None,None,337.7235767169914,None,1.5,50,341.2308760980086,None,None,0,341.2308760980086,None,You lost $0.20!,-30.799999999999997,5,40,0.5,30.0,0.3613337959997201,[0],33.33333333333333,39,3,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027,Scanner,1,2019_Aug_27_1058,MID,3.1.5,24.010254106274342,
