Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,39,39,39,,274.035189831,None,1500,276.068514255001,None,None,276.068514255001,None,1.6600000000000001,40,277.6014635669999,None,None,0,277.6014635669999,None,You lost $0.20!,19.6,5,31,0.33999999999999986,47.5,0.2816402301578867,[0],66.66666666666666,30,3,None,0.27466514499974437,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,3000,0,40,40,40,,279.651974978,None,3000,281.6861539290003,None,None,281.6861539290003,None,1.6600000000000001,41,284.7257551470011,None,1,1,284.7257551470011,None,You won $5.00!,24.6,1,32,0.33999999999999986,48.78048780487805,0.27899563064993343,"[0, 1]",66.66666666666666,30,3,None,0.2287482399988221,0.2287482399988221,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,3500,0,41,41,41,,286.7688385849997,None,3500,288.79244950700013,None,None,288.79244950700013,None,1.6600000000000001,42,292.33566427799997,None,None,0,292.33566427799997,None,You lost $5.00!,19.6,4,33,0.3599999999999999,47.61904761904761,0.27899563064993343,[],49.99999999999999,33,3,1,0.3619768450001719,,Adjusting RT...,0.001976845000172034,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
Triangle,2500,0,42,42,42,,294.36905233499965,None,2500,296.39300159100094,None,None,296.39300159100094,None,1.6400000000000001,43,298.93717164699956,None,1,1,298.93717164699956,None,You did not win or lose anything!,19.6,3,33,0.3599999999999999,48.837209302325576,0.278964096714238,[],49.99999999999999,33,3,None,0.2783334180003294,0.2783334180003294,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,1500,0,43,43,43,,301.0037342430005,None,1500,303.0269057509995,None,None,303.0269057509995,None,1.6400000000000001,44,304.5770203230004,None,None,0,304.5770203230004,None,You did not win $0.20!,19.6,2,34,0.3599999999999999,47.72727272727273,0.278964096714238,[0],49.99999999999999,33,3,None,0.2783334180003294,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgPun,1500,0,44,44,44,,306.6208496090003,None,1500,308.6539813800009,None,None,308.6539813800009,None,1.6400000000000001,45,310.18802101599977,None,1,1,310.18802101599977,None,You did not lose $5.00!,19.6,4,35,0.3599999999999999,48.888888888888886,0.27885753672721464,"[0, 1]",49.99999999999999,33,3,None,0.2766197769997234,0.2766197769997234,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,4000,0,45,45,45,,312.24620765799955,None,4000,314.2787279839995,None,None,314.2787279839995,None,1.6400000000000001,46,318.3224371810011,None,1,1,318.3224371810011,None,You won $0.20!,19.8,2,36,0.3799999999999999,50.0,0.28043200804337254,[],49.99999999999999,36,3,None,0.31507037699884677,0.31507037699884677,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,3500,0,46,46,46,,320.37160586400023,None,3500,322.3964418630003,None,None,322.3964418630003,None,1.62,47,325.9389748720005,None,1,1,325.9389748720005,None,You did not lose $0.20!,19.8,5,37,0.3799999999999999,51.06382978723404,0.2807332029581933,[1],49.99999999999999,36,3,None,0.2876606859990716,0.2876606859990716,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallPun,3000,0,47,47,47,,327.9720081590003,None,3000,329.9978304289998,None,None,329.9978304289998,None,1.62,48,333.0390434590008,None,1,1,333.0390434590008,None,You did not lose $0.20!,19.8,5,38,0.3799999999999999,52.083333333333336,0.2800878153198573,"[1, 1]",49.99999999999999,36,3,None,0.2645985119997931,0.2645985119997931,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
LgReward,1500,0,48,48,48,,335.0827505030011,None,1500,337.11493990000054,None,None,337.11493990000054,None,1.62,49,338.6559642100001,None,1,1,338.6559642100001,None,You won $5.00!,24.8,1,39,0.34999999999999987,53.06122448979592,0.2824518041537046,[],83.33333333333333,39,3,None,0.34155152499988617,0.34155152499988617,Adjusting RT...,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
SmallReward,2000,0,49,49,49,,340.71673614999963,None,2000,342.7485162030007,None,None,342.7485162030007,None,1.6500000000000001,50,344.8056245709995,None,None,0,344.8056245709995,None,You did not win $0.20!,24.8,2,40,0.34999999999999987,52.0,0.2824518041537046,[0],83.33333333333333,39,3,1,0.5622254309997514,,,0.21222543099975155,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,Scanner,1,2019_Sep_05_1113,MID,3.1.5,60.12717679516723,
