Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,41,41,41,,288.9509968229686,None,2000,290.9784247970092,None,None,290.9784247970092,None,1.72,42,293.0278502019937,None,1,1,0.2507558999932371,293.0278502019937,None,You won $5.00!,29.8,1,34,0.28,59.523809523809526,0.2443067860789597,[1],83.33333333333333,33,3,None,0.2507558999932371,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,3000,0,42,42,42,,295.0853196249809,None,3000,297.1126688219956,None,None,297.1126688219956,None,1.72,43,300.1518063530093,None,1,1,0.029795075010042638,300.1518063530093,None,You did not lose $0.20!,29.8,5,35,0.28,60.46511627906976,0.2360563356532321,"[1, 1]",83.33333333333333,33,3,None,0.029795075010042638,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,1500,0,43,43,43,,302.18591788300546,None,1500,304.21303510898724,None,None,304.21303510898724,None,1.72,44,305.7472348380252,None,None,0,,305.7472348380252,None,You did not win or lose anything!,29.8,3,35,0.28,59.09090909090909,0.2360563356532321,"[1, 1]",83.33333333333333,33,3,1,0.27450976098887625,,-0.0054902390111237764,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallPun,1500,0,44,44,44,,307.8024633199675,None,1500,309.8303583060042,None,None,309.8303583060042,None,1.72,45,311.3693879820057,None,None,0,,311.3693879820057,None,You lost $0.20!,29.6,5,36,0.26,57.77777777777777,0.2360563356532321,[],66.66666666666666,36,3,1,0.26113894598325715,Adjusting RT...,0.0011389459832571447,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgPun,4000,0,45,45,45,,313.4194778719684,None,4000,315.4487316349987,None,1,315.4487316349987,None,1.74,46,319.4865032869857,None,None,0,,319.4865032869857,None,You lost $5.00!,24.6,4,37,0.26,56.52173913043478,0.2360563356532321,[0],66.66666666666666,36,3,None,0.26113894598325715,,,0.22399490600218996,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
Triangle,2000,0,46,46,46,,321.5366538980161,None,2000,323.5656294170185,None,None,323.5656294170185,None,1.74,47,325.5993928160169,None,None,0,,325.5993928160169,None,You did not win or lose anything!,24.6,3,37,0.26,55.319148936170215,0.2360563356532321,[0],66.66666666666666,36,3,None,0.26113894598325715,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,3000,0,47,47,47,,327.6658101300127,None,3000,329.6998054679716,None,None,329.6998054679716,None,1.74,48,332.74986335699214,None,None,0,,332.74986335699214,None,You did not win $5.00!,24.6,1,38,0.26,54.166666666666664,0.2360563356532321,"[0, 0]",66.66666666666666,36,3,None,0.26113894598325715,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
LgReward,1500,0,48,48,48,,334.79953665297944,None,1500,336.8344423400122,None,None,336.8344423400122,None,1.74,49,338.3834595869994,None,None,0,,338.3834595869994,None,You did not win $5.00!,24.6,1,39,0.3,53.06122448979592,0.2360563356532321,[],33.33333333333333,39,3,1,0.28702138097723945,Adjusting RT...,-0.01297861902276054,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
SmallReward,3500,0,49,49,49,,340.4343997410033,None,3500,342.46749265596736,None,None,342.46749265596736,None,1.7,50,346.0184767919709,None,1,1,0.23411931400187314,346.0184767919709,None,You won $0.20!,24.8,2,40,0.3,54.0,0.2359845941105892,[1],33.33333333333333,39,3,None,0.23411931400187314,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,Scanner,1,2019_Aug_31_1507,MID,3.1.5,59.436419585067,
