Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2500,0,34,34,34,,252.45676590001676,None,2500,254.4626019729767,None,None,254.4626019729767,None,1.54,35,257.01569619297516,None,None,0,257.01569619297516,None,You did not win or lose anything!,14.8,3,30,0.45999999999999985,51.42857142857142,0.32643796567248906,[],83.33333333333333,30,3,None,0.2977226140210405,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,2000,0,35,35,35,,259.0817138790153,None,2000,261.09427621698705,None,None,261.09427621698705,None,1.54,36,263.14480949001154,None,1,1,263.14480949001154,None,You did not win or lose anything!,14.8,3,30,0.45999999999999985,52.77777777777778,0.3239807662688882,[],83.33333333333333,30,3,None,0.2797511770040728,0.2797511770040728,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallPun,2500,0,36,36,36,,265.20623344701016,None,2500,267.2286262389971,None,None,267.2286262389971,None,1.54,37,269.763894675998,None,1,1,269.763894675998,None,You did not lose $0.20!,14.8,5,31,0.45999999999999985,54.054054054054056,0.32521768295555376,[1],83.33333333333333,30,3,None,0.3487191000021994,0.3487191000021994,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,3000,0,37,37,37,,271.8345511140069,None,3000,273.8461068769684,None,None,273.8461068769684,None,1.54,38,276.91297195700463,None,None,0,276.91297195700463,None,You did not win $0.20!,14.8,2,32,0.45999999999999985,52.63157894736842,0.32521768295555376,"[1, 0]",83.33333333333333,30,3,1,0.47732973899925113,,,0.017329738999251276,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,2000,0,38,38,38,,278.95910048898077,None,2000,280.9639855750138,None,None,280.9639855750138,None,1.54,39,283.01704228599556,None,None,0,283.01704228599556,None,You lost $5.00!,9.8,4,33,0.43999999999999984,51.28205128205128,0.32521768295555376,[],66.66666666666666,33,3,None,0.47732973899925113,,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,3500,0,39,39,39,,285.08155553700635,None,3500,287.09807158698095,None,None,287.09807158698095,None,1.56,40,290.64797331998125,None,1,1,290.64797331998125,None,You did not lose $5.00!,9.8,4,34,0.43999999999999984,52.5,0.3259512227183829,[1],66.66666666666666,33,3,None,0.3406220179749653,0.3406220179749653,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,2000,0,40,40,40,,292.66654672898585,None,2000,294.6826715290081,None,None,294.6826715290081,None,1.56,41,296.7399243239779,None,1,1,296.7399243239779,None,You won $5.00!,14.8,1,35,0.43999999999999984,53.65853658536586,0.32575656336848624,"[1, 1]",66.66666666666666,33,3,None,0.3216687170206569,0.3216687170206569,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgReward,2500,0,41,41,41,,298.7934254499851,None,2500,300.79937914101174,None,None,300.79937914101174,None,1.56,42,303.33234248001827,None,1,1,303.33234248001827,None,You won $5.00!,19.8,1,36,0.4199999999999998,54.761904761904766,0.3276042939168806,[],66.66666666666666,36,3,None,0.3682543659815565,0.3682543659815565,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,2000,0,42,42,42,,305.375342727988,None,2000,307.3834308969672,None,None,307.3834308969672,None,1.58,43,309.43458274699515,None,1,1,309.43458274699515,None,You did not win or lose anything!,19.8,3,36,0.4199999999999998,55.81395348837209,0.3274947924607356,[],66.66666666666666,36,3,None,0.3249762589694001,0.3249762589694001,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,1500,0,43,43,43,,311.5007393200067,None,1500,313.51797380001517,None,None,313.51797380001517,None,1.58,44,315.0675221760175,None,None,0,315.0675221760175,None,You did not win or lose anything!,19.8,3,36,0.4199999999999998,54.54545454545454,0.3274947924607356,[],66.66666666666666,36,3,None,0.3249762589694001,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,2000,0,44,44,44,,317.126097166969,None,2000,319.1364934889716,None,None,319.1364934889716,None,1.58,45,321.18528966401936,None,None,0,321.18528966401936,None,You lost $5.00!,14.8,4,37,0.4199999999999998,53.333333333333336,0.3274947924607356,[0],66.66666666666666,36,3,1,0.4047168150008654,,,-0.015283184999134392,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,4000,0,45,45,45,,323.251138104999,None,4000,325.25673619500594,None,None,325.25673619500594,None,1.58,46,329.3105844950187,None,None,0,329.3105844950187,None,You did not win or lose anything!,14.8,3,37,0.4199999999999998,52.17391304347826,0.3274947924607356,[0],66.66666666666666,36,3,1,0.4421604799735358,,,0.022160479973535985,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
Triangle,1500,0,46,46,46,,331.3760642639827,None,1500,333.38799509598175,None,None,333.38799509598175,None,1.58,47,334.93947807798395,None,None,0,334.93947807798395,None,You did not win or lose anything!,14.8,3,37,0.4199999999999998,51.06382978723404,0.3274947924607356,[0],66.66666666666666,36,3,None,0.4421604799735358,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
LgPun,4000,0,47,47,47,,336.96022126299795,None,4000,338.97133380698506,None,None,338.97133380698506,None,1.58,48,343.02175447600894,None,1,1,343.02175447600894,None,You did not lose $5.00!,14.8,4,38,0.4199999999999998,52.083333333333336,0.32698420352302493,"[0, 1]",66.66666666666666,36,3,None,0.31473006901796907,0.31473006901796907,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,1500,0,48,48,48,,345.08543610497145,None,1500,347.1057354839868,None,None,347.1057354839868,None,1.58,49,348.6563534839661,None,1,1,348.6563534839661,None,You won $0.20!,15.0,2,39,0.3899999999999998,53.06122448979592,0.32741725592551607,[],83.33333333333333,39,3,None,0.3382435659877956,0.3382435659877956,Adjusting RT...,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
SmallReward,2500,0,49,49,49,,350.7109454959864,None,2500,352.7227463820018,None,None,352.7227463820018,None,1.6100000000000003,50,355.2814484600094,None,None,0,355.2814484600094,None,You did not win $0.20!,15.0,2,40,0.3899999999999998,52.0,0.32741725592551607,[0],83.33333333333333,39,3,1,0.6056600290327331,,,0.2156600290327333,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,Scanner,2,2019_Aug_30_1240,MID,3.1.5,24.045833145800415,
