Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,34,34,34,,256.94556405500043,None,1500,258.9795429440055,None,None,258.9795429440055,None,1.69,35,260.52912164400186,None,1,1,0.2665982350008562,260.52912164400186,None,You won $5.00!,5.6000000000000005,1,27,0.35,54.285714285714285,0.2609220070003893,[],33.33333333333333,27,3,None,0.2665982350008562,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,1500,0,35,35,35,,262.5638373690017,None,1500,264.59659407100116,None,None,264.59659407100116,None,1.65,36,266.13005433500075,None,None,0,,266.13005433500075,None,You lost $0.20!,5.4,5,28,0.35,52.77777777777778,0.2609220070003893,[0],33.33333333333333,27,3,1,0.3433739490006701,,-0.006626050999329891,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,2000,0,36,36,36,,268.18076079500315,None,2000,270.2139828299987,None,None,270.2139828299987,None,1.65,37,272.26417747099913,None,1,1,0.2525478800016572,272.26417747099913,None,You won $5.00!,10.4,1,29,0.35,54.054054054054056,0.26050330065045274,"[0, 1]",33.33333333333333,27,3,None,0.2525478800016572,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,1500,0,37,37,37,,274.31495259100484,None,1500,276.3486010990018,None,None,276.3486010990018,None,1.65,38,277.89820530600264,None,1,1,0.2654972039963468,277.89820530600264,None,You won $5.00!,15.4,1,30,0.32999999999999996,55.26315789473685,0.2607411055716858,[],66.66666666666666,30,3,None,0.2654972039963468,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,4000,0,38,38,38,,279.93148372699943,None,4000,281.9656156860001,None,None,281.9656156860001,None,1.67,39,285.99924782000016,None,1,1,0.2585829090021434,285.99924782000016,None,You did not lose $0.20!,15.4,5,31,0.32999999999999996,56.41025641025641,0.2606430057276157,[1],66.66666666666666,30,3,None,0.2585829090021434,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,2000,0,39,39,39,,288.0319440750027,None,2000,290.0651127780002,None,None,290.0651127780002,None,1.67,40,292.0995355560008,None,1,1,0.25329025000246475,292.0995355560008,None,You did not lose $5.00!,15.4,4,32,0.32999999999999996,57.49999999999999,0.2603233206960874,"[1, 1]",66.66666666666666,30,3,None,0.25329025000246475,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,3500,0,40,40,40,,294.1330888240045,None,3500,296.16712534199905,None,None,296.16712534199905,None,1.67,41,299.70000972300477,None,None,0,,299.70000972300477,None,You did not win or lose anything!,15.4,3,32,0.32999999999999996,56.09756097560976,0.2603233206960874,"[1, 1]",66.66666666666666,30,3,1,0.3963269159995252,,0.06632691599952523,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,1500,0,41,41,41,,301.74954648600396,None,1500,303.78409730899875,None,None,303.78409730899875,None,1.67,42,305.33338778200414,None,1,1,0.2784453959975508,305.33338778200414,None,You won $0.20!,15.6,2,33,0.29999999999999993,57.14285714285714,0.26107840716698166,[],83.33333333333333,33,3,None,0.2784453959975508,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,2000,0,42,42,42,,307.38349585499964,None,2000,309.417809726001,None,None,309.417809726001,None,1.7000000000000002,43,311.45025124899985,None,None,0,,311.45025124899985,None,You lost $0.20!,15.4,5,34,0.29999999999999993,55.81395348837209,0.26107840716698166,[0],83.33333333333333,33,3,None,0.2784453959975508,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,3000,0,43,43,43,,313.50073172200064,None,3000,315.5346400760027,None,None,315.5346400760027,None,1.7000000000000002,44,318.5846846850036,None,1,1,0.25103079700056696,318.5846846850036,None,You won $0.20!,15.6,2,35,0.29999999999999993,56.81818181818182,0.2606765027603251,"[0, 1]",83.33333333333333,33,3,None,0.25103079700056696,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,1500,0,44,44,44,,320.61745992200304,None,1500,322.6513621750055,None,None,322.6513621750055,None,1.7000000000000002,45,324.18531149499904,None,None,0,,324.18531149499904,None,You lost $0.20!,15.4,5,36,0.2799999999999999,55.55555555555556,0.2606765027603251,[],66.66666666666666,36,3,None,0.25103079700056696,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,3500,0,45,45,45,,326.21845551200386,None,3500,328.2517950340043,None,None,328.2517950340043,None,1.7200000000000002,46,331.7846905430051,None,None,0,,331.7846905430051,None,You lost $5.00!,10.4,4,37,0.2799999999999999,54.347826086956516,0.2606765027603251,[0],66.66666666666666,36,3,None,0.25103079700056696,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,1500,0,46,46,46,,333.81925513400347,None,1500,335.85211970800447,None,None,335.85211970800447,None,1.7200000000000002,47,337.38542503300414,None,None,0,,337.38542503300414,None,You did not win or lose anything!,10.4,3,37,0.2799999999999999,53.191489361702125,0.2606765027603251,[0],66.66666666666666,36,3,1,0.391793445998046,,0.11179344599804608,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,2500,0,47,47,47,,339.4524269300018,None,2500,341.4867890739988,None,None,341.4867890739988,None,1.7200000000000002,48,344.03623750300176,None,None,0,,344.03623750300176,None,You did not win $5.00!,10.4,1,38,0.2799999999999999,52.083333333333336,0.2606765027603251,"[0, 0]",66.66666666666666,36,3,1,0.2825356389960506,,0.002535638996050693,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,2000,0,48,48,48,,346.08604048300185,None,2000,348.12043365000136,None,None,348.12043365000136,None,1.7200000000000002,49,350.15279134199955,None,1,1,0.23903508100192994,350.15279134199955,None,You did not lose $5.00!,10.4,4,39,0.3199999999999999,53.06122448979592,0.2598441403850022,[],33.33333333333333,39,3,None,0.23903508100192994,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,1500,0,49,49,49,,352.20338852100394,None,1500,354.23723813000106,None,None,354.23723813000106,None,1.6800000000000002,50,355.76998748600454,None,None,0,,355.76998748600454,None,You lost $0.20!,10.200000000000001,5,40,0.3199999999999999,52.0,0.2598441403850022,[0],33.33333333333333,39,3,1,0.35623887299909246,,0.036238872999092564,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
