Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,38,38,38,,271.0940653900034,None,2000,273.1273644909961,None,None,273.1273644909961,None,1.6700000000000002,39,275.1775590440375,None,None,0,275.1775590440375,None,You did not win $0.20!,15.0,2,31,0.3299999999999999,53.84615384615385,0.23164223428604946,[0],33.33333333333333,30,3,1,0.020324603014159948,0.35032460301415985,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,3500,0,39,39,39,,277.22709521400975,None,3500,279.2614641400287,None,None,279.2614641400287,None,1.6700000000000002,40,282.7946228060173,None,1,1,282.7946228060173,None,You did not lose $0.20!,15.0,5,32,0.3299999999999999,55.00000000000001,0.2317731732751285,"[0, 1]",33.33333333333333,30,3,None,,0.23452289204578847,0.23452289204578847,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,1500,0,40,40,40,,284.8272042720346,None,1500,286.8608777599875,None,None,286.8608777599875,None,1.6700000000000002,41,288.39518570003565,None,None,0,288.39518570003565,None,You did not win or lose anything!,15.0,3,32,0.3299999999999999,53.65853658536586,0.2317731732751285,"[0, 1]",33.33333333333333,30,3,1,0.12670338398311287,0.4567033839831128,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,1500,0,41,41,41,,290.4449412510148,None,1500,292.4794305069954,None,None,292.4794305069954,None,1.6700000000000002,42,294.0118153960211,None,1,1,294.0118153960211,None,You did not lose $0.20!,15.0,5,33,0.3499999999999999,54.761904761904766,0.23183973682740622,[],49.99999999999999,33,3,None,,0.2333041349775158,0.2333041349775158,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,2000,0,42,42,42,,296.0456801929977,None,2000,298.0794380810112,None,None,298.0794380810112,None,1.6500000000000001,43,300.11175016104244,None,1,1,300.11175016104244,None,You did not lose $5.00!,15.0,4,34,0.3499999999999999,55.81395348837209,0.23194562900122642,[1],49.99999999999999,33,3,None,,0.23438114899909124,0.23438114899909124,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,1500,0,43,43,43,,302.14545336703304,None,1500,304.1794672230026,None,None,304.1794672230026,None,1.6500000000000001,44,305.7121508780401,None,1,1,305.7121508780401,None,You did not lose $5.00!,15.0,4,35,0.3499999999999999,56.81818181818182,0.2316327266418375,"[1, 1]",49.99999999999999,33,3,None,,0.22412307001650333,0.22412307001650333,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,1500,0,44,44,44,,307.7622462300351,None,1500,309.7964541600086,None,None,309.7964541600086,None,1.6500000000000001,45,311.3462634740281,None,1,1,311.3462634740281,None,You won $0.20!,15.2,2,36,0.31999999999999995,57.77777777777777,0.2341431055773193,[],83.33333333333333,36,3,None,,0.2969025789643638,0.2969025789643638,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,4000,0,45,45,45,,313.37953225401,None,4000,315.41379597602645,None,1,315.41379597602645,None,1.6800000000000002,46,319.44724008004414,None,1,1,319.44724008004414,None,You did not win or lose anything!,15.2,3,36,0.31999999999999995,58.69565217391305,0.22787517996254825,[],83.33333333333333,36,3,None,,0.06490911397850141,0.06490911397850141,,3.839456000016071,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,1500,0,46,46,46,,321.4971554680378,None,1500,323.5311426970293,None,None,323.5311426970293,None,1.6800000000000002,47,325.0637783629936,None,1,1,325.0637783629936,None,You won $5.00!,20.2,1,37,0.31999999999999995,59.57446808510638,0.22846798485677158,[1],83.33333333333333,36,3,None,,0.24447371700080112,0.24447371700080112,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,1500,0,47,47,47,,327.11749954300467,None,1500,329.14762017299654,None,None,329.14762017299654,None,1.6800000000000002,48,330.69784015999176,None,1,1,330.69784015999176,None,You won $0.20!,20.4,2,38,0.31999999999999995,60.416666666666664,0.2292936016195293,"[1, 1]",83.33333333333333,36,3,None,,0.2524108709767461,0.2524108709767461,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,1500,0,48,48,48,,332.7479458610178,None,1500,334.7816972149885,None,None,334.7816972149885,None,1.6800000000000002,49,336.34837930399226,None,1,1,336.34837930399226,None,You won $5.00!,25.4,1,39,0.26999999999999996,61.224489795918366,0.23017945163301193,[],100.0,39,3,None,,0.2558691020240076,0.2558691020240076,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,1500,0,49,49,49,,338.38170709001133,None,1500,340.41568742803065,None,None,340.41568742803065,None,1.73,50,341.94886238203617,None,None,0,341.94886238203617,None,You lost $5.00!,20.4,4,40,0.26999999999999996,60.0,0.23017945163301193,[0],100.0,39,3,1,-0.0020654320251196623,0.2679345679748803,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
