Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,35,35,35,,261.9334528370018,None,1500,263.9672760329995,None,None,263.9672760329995,None,1.6700000000000002,36,265.5003232470008,None,1,1,265.5003232470008,None,You did not lose $5.00!,10.600000000000001,4,27,0.29999999999999993,61.111111111111114,0.24992793054529597,[],83.33333333333333,27,3,None,,0.2461388400006399,0.2461388400006399,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,1500,0,36,36,36,,267.56706933900205,None,1500,269.58384809700146,None,None,269.58384809700146,None,1.7000000000000002,37,271.1339845770017,None,1,1,271.1339845770017,None,You won $5.00!,15.600000000000001,1,28,0.29999999999999993,62.16216216216216,0.2502123269998423,[1],83.33333333333333,27,3,None,,0.2564690489998611,0.2564690489998611,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,3500,0,37,37,37,,273.16730279400144,None,3500,275.20111149999866,None,None,275.20111149999866,None,1.7000000000000002,38,278.7340221480008,None,None,0,278.7340221480008,None,You lost $5.00!,10.600000000000001,4,29,0.29999999999999993,60.526315789473685,0.2502123269998423,"[1, 0]",83.33333333333333,27,3,None,,0.2564690489998611,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,1500,0,38,38,38,,280.76765647700086,None,1500,282.80085494800005,None,None,282.80085494800005,None,1.7000000000000002,39,284.3342018069998,None,1,1,284.3342018069998,None,You did not lose $5.00!,10.600000000000001,4,30,0.2699999999999999,61.53846153846154,0.25075557362485296,[],83.33333333333333,30,3,None,,0.26325024600009783,0.26325024600009783,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,2500,0,39,39,39,,286.36812889000066,None,2500,288.4020287929998,None,None,288.4020287929998,None,1.73,40,290.93495319000067,None,None,0,290.93495319000067,None,You lost $0.20!,10.400000000000002,5,31,0.2699999999999999,60.0,0.25075557362485296,[0],83.33333333333333,30,3,1,0.010871776001295075,0.280871776001295,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,1500,0,40,40,40,,292.98434570300014,None,1500,295.01892206900084,None,None,295.01892206900084,None,1.73,41,296.5687523779998,None,None,0,296.5687523779998,None,You did not win $5.00!,10.400000000000002,1,32,0.2699999999999999,58.536585365853654,0.25075557362485296,"[0, 0]",83.33333333333333,30,3,1,0.0031324510018748697,0.2731324510018748,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,1500,0,41,41,41,,298.61909021799875,None,1500,300.6530008209993,None,None,300.6530008209993,None,1.73,42,302.1852418460003,None,1,1,302.1852418460003,None,You did not lose $0.20!,10.400000000000002,5,33,0.2899999999999999,59.523809523809526,0.24925413699980709,[],49.99999999999999,33,3,None,,0.21321965799870668,0.21321965799870668,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,2000,0,42,42,42,,304.21931893999863,None,2000,306.2532919559999,None,None,306.2532919559999,None,1.71,43,308.2858806719996,None,1,1,308.2858806719996,None,You did not win or lose anything!,10.400000000000002,3,33,0.2899999999999999,60.46511627906976,0.24860878449978302,[],49.99999999999999,33,3,None,,0.23247497199918143,0.23247497199918143,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,4000,0,43,43,43,,310.31909551900026,None,4000,312.3524356400012,None,None,312.3524356400012,None,1.71,44,316.3866960640007,None,None,0,316.3866960640007,None,You lost $5.00!,5.400000000000002,4,34,0.2899999999999999,59.09090909090909,0.24860878449978302,[0],49.99999999999999,33,3,1,-0.001455757999792695,0.28854424200020723,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,1500,0,44,44,44,,318.45268497399957,None,1500,320.48722612599886,None,None,320.48722612599886,None,1.71,45,322.03736222800217,None,None,0,322.03736222800217,None,You did not win $0.20!,5.400000000000002,2,35,0.2899999999999999,57.77777777777777,0.24860878449978302,"[0, 0]",49.99999999999999,33,3,1,-0.009927109997079242,0.2800728900029207,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,2500,0,45,45,45,,324.0874422369998,None,2500,326.1213151109987,None,None,326.1213151109987,None,1.71,46,328.66035371900216,None,None,0,328.66035371900216,None,You did not win $5.00!,5.400000000000002,1,36,0.3399999999999999,56.52173913043478,0.24860878449978302,[],16.666666666666664,36,3,1,-0.0009102260009967722,0.33908977399900314,,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,3000,0,46,46,46,,330.7045414230015,None,3000,332.73842389499987,None,None,332.73842389499987,None,1.6600000000000001,47,335.77131776900205,None,1,1,335.77131776900205,None,You did not lose $0.20!,5.400000000000002,5,37,0.3399999999999999,57.446808510638306,0.25033186870347923,[1],16.666666666666664,36,3,None,,0.29513205799958087,0.29513205799958087,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,2000,0,47,47,47,,337.83833899599995,None,2000,339.8722152600021,None,None,339.8722152600021,None,1.6600000000000001,48,341.9219542610008,None,None,0,341.9219542610008,None,You did not win $5.00!,5.400000000000002,1,38,0.3399999999999999,56.25,0.25033186870347923,"[1, 0]",16.666666666666664,36,3,1,0.027962956999544986,0.3679629569995449,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,4000,0,48,48,48,,343.9720872079997,None,4000,345.99455117099933,None,None,345.99455117099933,None,1.6600000000000001,49,350.05529867800215,None,None,0,350.05529867800215,None,You did not win $0.20!,5.400000000000002,2,39,0.3899999999999999,55.10204081632652,0.25033186870347923,[],16.666666666666664,39,3,None,,0.3679629569995449,,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,1500,0,49,49,49,,352.089191512001,None,1500,354.11195888899965,None,None,354.11195888899965,None,1.61,50,355.65543261900166,None,1,1,355.65543261900166,None,You did not lose $0.20!,5.400000000000002,5,40,0.3899999999999999,56.00000000000001,0.2516016219998554,[1],16.666666666666664,39,3,None,,0.28588496100201155,0.28588496100201155,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
