Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,3000,0,37,37,37,,264.7902401299798,None,3000,266.8242068149848,None,1,266.8242068149848,None,1.6,38,269.87390428298386,None,None,0,,269.87390428298386,None,You did not win $0.20!,19.8,2,31,0.4,63.1578947368421,0.297686195129548,[0],49.99999999999999,30,3,None,0.25757507199887186,,,2.607886722020339,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,1500,0,38,38,38,,271.90758474799804,None,1500,273.94130563299404,None,None,273.94130563299404,None,1.6,39,275.47566179500427,None,None,0,,275.47566179500427,None,You lost $0.20!,19.6,5,32,0.4,61.53846153846154,0.297686195129548,"[0, 0]",49.99999999999999,30,3,1,0.3918599730008282,,-0.008140026999171823,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,2000,0,39,39,39,,277.52519406203646,None,2000,279.5423459659796,None,None,279.5423459659796,None,1.6,40,281.5925278629875,None,None,0,,281.5925278629875,None,You did not win $5.00!,19.6,1,33,0.44,60.0,0.297686195129548,[],33.33333333333333,33,3,None,0.3918599730008282,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,2500,0,40,40,40,,283.62822002300527,None,2500,285.6603743649903,None,None,285.6603743649903,None,1.56,41,288.1938144019805,None,1,1,0.4014031810220331,288.1938144019805,None,You did not lose $5.00!,19.6,4,34,0.44,60.97560975609756,0.30183487456524744,[1],33.33333333333333,33,3,None,0.4014031810220331,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,3500,0,41,41,41,,290.2287186390022,None,3500,292.26082198199583,None,None,292.26082198199583,None,1.56,42,295.79412844002945,None,1,1,0.3160946689895354,295.79412844002945,None,You did not win or lose anything!,19.6,3,34,0.44,61.904761904761905,0.30238332819695085,[1],33.33333333333333,33,3,None,0.3160946689895354,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,2000,0,42,42,42,,297.8292568710167,None,2000,299.86220611300087,None,None,299.86220611300087,None,1.56,43,301.89487900800304,None,1,1,0.32021261897170916,301.89487900800304,None,You did not lose $0.20!,19.6,5,35,0.44,62.7906976744186,0.3030436722997197,"[1, 1]",33.33333333333333,33,3,None,0.32021261897170916,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,4000,0,43,43,43,,303.9297747600358,None,4000,305.9631492359913,None,None,305.9631492359913,None,1.56,44,309.9961334200343,None,1,1,0.37907795998035,309.9961334200343,None,You did not lose $5.00!,19.6,4,36,0.46,63.63636363636363,0.3057591825740279,[],50.0,36,3,None,0.37907795998035,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,1500,0,44,44,44,,312.0306620390038,None,1500,314.0635609999881,None,1,314.0635609999881,None,1.54,45,315.59728524601087,None,None,0,,315.59728524601087,None,You did not win or lose anything!,19.6,3,36,0.46,62.22222222222222,0.3057591825740279,[],50.0,36,3,None,0.37907795998035,,,1.2965664169751108,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,3500,0,45,45,45,,317.6644311620039,None,3500,319.6970691040042,None,None,319.6970691040042,None,1.54,46,323.2476404340123,None,None,0,,323.2476404340123,None,You did not win $5.00!,19.6,1,37,0.46,60.86956521739131,0.3057591825740279,[0],50.0,36,3,1,0.4641422480135225,,0.004142248013522476,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,1500,0,46,46,46,,325.2812780389795,None,1500,327.31582811498083,None,None,327.31582811498083,None,1.54,47,328.84843457798706,None,1,1,0.40577058895723894,328.84843457798706,None,You did not win or lose anything!,19.6,3,37,0.46,61.702127659574465,0.30920785175965587,[0],50.0,36,3,None,0.40577058895723894,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,3000,0,47,47,47,,330.9152162540122,None,3000,332.9494432199863,None,None,332.9494432199863,None,1.54,48,335.9991428880021,None,1,1,0.39698592299828306,335.9991428880021,None,You won $5.00!,24.6,1,38,0.46,62.5,0.3121337874676101,"[0, 1]",50.0,36,3,None,0.39698592299828306,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,3500,0,48,48,48,,338.0321752720047,None,3500,340.06621891399845,None,None,340.06621891399845,None,1.54,49,343.5992647440289,None,1,1,0.3468452870147303,343.5992647440289,None,You did not lose $5.00!,24.6,4,39,0.43000000000000005,63.26530612244898,0.31325351325945267,[],83.33333333333333,39,3,None,0.3468452870147303,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,1500,0,49,49,49,,345.6661438230076,None,1500,347.69976031401893,None,None,347.69976031401893,None,1.5699999999999998,50,349.2498477480258,None,1,1,0.3312232419848442,349.2498477480258,None,You won $5.00!,29.6,1,40,0.43000000000000005,64.0,0.31381506728212116,[1],83.33333333333333,39,3,None,0.3312232419848442,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
