trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,894,None,0,69,69,69,1,1,0.6310505869987537,go,0.2,0.894,1.8940000000000001,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,730,None,0,70,70,70,2,1,0.8784926099979202,go,0.2,0.73,1.73,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,798,None,0,71,71,71,1,1,0.5438436690019444,go,0.2,0.798,1.798,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,790,None,0,72,72,72,None,1,,stop,0.25,0.79,1.79,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,795,None,0,73,73,73,2,1,0.631119846002548,go,0.25,0.795,1.795,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,778,None,0,74,74,74,1,1,0.5881399019999662,go,0.25,0.778,1.778,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,833,None,0,75,75,75,None,1,,stop,0.3,0.833,1.833,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,984,None,0,76,76,76,2,1,0.5865901279976242,go,0.3,0.984,1.984,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1092,None,0,77,77,77,2,1,0.546674167002493,go,0.3,1.092,2.092,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,750,None,0,78,78,78,1,1,0.6708832479998819,go,0.3,0.75,1.75,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,894,None,0,79,79,79,1,1,0.7557876579958247,go,0.3,0.894,1.8940000000000001,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,724,None,0,80,80,80,2,1,0.6281973899967852,go,0.3,0.724,1.724,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,788,None,0,81,81,81,2,1,0.6231341230013641,go,0.3,0.788,1.788,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,857,None,0,82,82,82,None,1,,stop,0.35,0.857,1.857,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,909,None,0,83,83,83,2,1,0.5441592970018974,go,0.35,0.909,1.909,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1176,None,0,84,84,84,1,1,0.6273315509970416,go,0.35,1.176,2.176,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,811,None,0,85,85,85,1,1,0.7087839029991301,go,0.35,0.811,1.811,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1155,None,0,86,86,86,2,0,0.6290085459986585,stop,0.3,1.155,2.175991454001341,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,717,None,0,87,87,87,2,1,0.5834710810013348,go,0.3,0.717,1.717,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1064,None,0,88,88,88,1,1,0.5845381429971894,go,0.3,1.064,2.064,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,954,None,0,89,89,89,2,1,0.4631348480033921,go,0.3,0.954,1.954,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,946,None,0,90,90,90,2,0,0.5636706660006894,stop,0.25,0.946,1.9823293339993107,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1146,None,0,91,91,91,1,1,0.6730264119978528,go,0.25,1.146,2.146,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,843,None,0,92,92,92,2,1,0.5906198970042169,go,0.25,0.843,1.843,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1717,None,0,93,93,93,1,1,0.5460937140014721,go,0.25,1.717,2.717,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,745,None,0,94,94,94,1,1,0.6293097820016555,go,0.25,0.745,1.745,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1658,None,0,95,95,95,1,1,0.671321073998115,go,0.25,1.658,2.658,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,704,None,0,96,96,96,2,1,0.5815277590008918,go,0.25,0.704,1.704,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,881,None,0,97,97,97,None,1,,stop,0.3,0.881,1.881,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,848,None,0,98,98,98,1,1,0.5837488000033773,go,0.3,0.848,1.8479999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,730,None,0,99,99,99,2,1,0.6236193980003009,go,0.3,0.73,1.73,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1039,None,0,100,100,100,2,1,0.6294171869958518,go,0.3,1.039,2.0389999999999997,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1855,None,0,101,101,101,1,1,0.6267861390006146,go,0.3,1.855,2.855,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,772,None,0,102,102,102,None,1,,stop,0.35,0.772,1.772,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1076,None,0,103,103,103,2,1,0.669008153003233,go,0.35,1.076,2.076,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,857,None,0,104,104,104,2,1,0.6273736490038573,go,0.35,0.857,1.857,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,815,None,0,105,105,105,1,1,0.8342973480030196,go,0.35,0.815,1.815,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1053,None,0,106,106,106,2,0,0.6518548200037912,stop,0.3,1.053,2.0511451799962086,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,778,None,0,107,107,107,1,1,0.7938032589954673,go,0.3,0.778,1.778,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1337,None,0,108,108,108,2,1,0.7071121029948699,go,0.3,1.337,2.3369999999999997,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,758,None,0,109,109,109,2,1,0.6268517749995226,go,0.3,0.758,1.758,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,978,None,0,110,110,110,1,1,0.712664776998281,go,0.3,0.978,1.978,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,728,None,0,111,111,111,None,1,,stop,0.35,0.728,1.728,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,895,None,0,112,112,112,2,1,0.837590306000493,go,0.35,0.895,1.895,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,869,None,0,113,113,113,1,1,0.584449649999442,go,0.35,0.869,1.869,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,736,None,0,114,114,114,1,0,0.6274896260001697,stop,0.3,0.736,1.7585103739998302,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1150,None,0,115,115,115,2,1,0.6689598110024235,go,0.3,1.15,2.15,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,830,None,0,116,116,116,None,1,,stop,0.35,0.83,1.83,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
