trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Right_Arrow.bmp,None,2,1233,None,0,0,0,0,0,66,66,66,2,1,0.6296247529999164,go,0.15000000000000002,1.233,2.233,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1097,None,0,0,0,0,0,67,67,67,1,1,0.4648563410000861,go,0.15000000000000002,1.097,2.097,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,772,None,0,0,0,0,0,68,68,68,2,1,0.5457688840006085,go,0.15000000000000002,0.772,1.772,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,841,None,0,0,0,0,0,69,69,69,2,1,0.5840206650000255,go,0.15000000000000002,0.841,1.841,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,803,None,0,0,0,0,0,70,70,70,1,1,0.5460256199994546,go,0.15000000000000002,0.803,1.803,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,791,None,0,0,0,0,0,71,71,71,2,1,0.45986186300069676,go,0.15000000000000002,0.791,1.791,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,790,None,0,0,0,0,0,72,72,72,1,1,0.5020617650006898,go,0.15000000000000002,0.79,1.79,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,1087,None,0,0,0,0,0,73,73,73,2,1,0.37924743599978683,go,0.15000000000000002,1.087,2.0869999999999997,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,817,None,0,0,0,0,0,74,74,74,1,1,0.5845920450001358,go,0.15000000000000002,0.817,1.817,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,747,None,0,0,0,0,0,75,75,75,2,0,0.4186951140000019,stop,0.10000000000000002,0.747,1.778304885999998,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,808,None,0,0,0,0,0,76,76,76,2,1,0.5411243850003302,go,0.10000000000000002,0.808,1.808,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,1279,None,0,0,0,0,0,77,77,77,2,1,0.5467559990001973,go,0.10000000000000002,1.279,2.279,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
