Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,3500,0,37,37,37,,250.99157527698844,None,3500,253.00860468798783,None,None,253.00860468798783,None,1.5,38,256.5346833599906,None,None,0,256.5346833599906,None,You did not win $5.00!,-45.800000000000004,1,28,0.5,0.0,nan,[0],0.0,27,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,2000,0,38,38,38,,258.4759411749983,None,2000,260.5091334999888,None,None,260.5091334999888,None,1.5,39,262.5098120949988,None,None,0,262.5098120949988,None,You lost $0.20!,-46.00000000000001,5,29,0.5,0.0,nan,"[0, 0]",0.0,27,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,4000,0,39,39,39,,264.4935000229889,None,4000,266.5105460439954,None,None,266.5105460439954,None,1.5,40,270.5382733109873,None,None,0,270.5382733109873,None,You did not win $0.20!,-46.00000000000001,2,30,0.5,0.0,nan,[],0.0,30,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,1500,0,40,40,40,,272.4778045150015,None,1500,274.5114985179971,None,None,274.5114985179971,None,1.5,41,276.01171005298966,None,None,0,276.01171005298966,None,You lost $0.20!,-46.20000000000001,5,31,0.5,0.0,nan,[0],0.0,30,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,2000,0,41,41,41,,278.00187474899576,None,2000,280.0123124889942,None,None,280.0123124889942,None,1.5,42,282.0403140189883,None,None,0,282.0403140189883,None,You did not win $0.20!,-46.20000000000001,2,32,0.5,0.0,nan,"[0, 0]",0.0,30,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,1500,0,42,42,42,,283.99588330798724,None,1500,286.01224943299894,None,None,286.01224943299894,None,1.5,43,287.52961895598855,None,None,0,287.52961895598855,None,You did not win $0.20!,-46.20000000000001,2,33,0.5,0.0,nan,[],0.0,33,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,1500,0,43,43,43,,289.481247505988,None,1500,291.51358100298967,None,None,291.51358100298967,None,1.5,44,293.0272617479932,None,None,0,293.0272617479932,None,You lost $0.20!,-46.40000000000001,5,34,0.5,0.0,nan,[0],0.0,33,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,1500,0,44,44,44,,294.9800422260014,None,1500,297.0134392990003,None,None,297.0134392990003,None,1.5,45,298.5144800699927,None,None,0,298.5144800699927,None,You lost $0.20!,-46.600000000000016,5,35,0.5,0.0,nan,"[0, 0]",0.0,33,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,2000,0,45,45,45,,300.5048525559978,None,2000,302.514853279994,None,None,302.514853279994,None,1.5,46,304.54162880498916,None,None,0,304.54162880498916,None,You did not win $5.00!,-46.600000000000016,1,36,0.5,0.0,nan,[],0.0,36,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,4000,0,46,46,46,,306.48169708599744,None,4000,308.5158374849998,None,None,308.5158374849998,None,1.5,47,312.5299164229946,None,None,0,312.5299164229946,None,You lost $5.00!,-51.600000000000016,4,37,0.5,0.0,nan,[0],0.0,36,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,3000,0,47,47,47,,314.48255430599966,None,3000,316.5166294090013,None,None,316.5166294090013,None,1.5,48,319.53079773898935,None,None,0,319.53079773898935,None,You lost $0.20!,-51.80000000000002,5,38,0.5,0.0,nan,"[0, 0]",0.0,36,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,2500,0,48,48,48,,321.5009815550002,None,2500,323.51874410499295,None,None,323.51874410499295,None,1.5,49,326.04494404599245,None,None,0,326.04494404599245,None,You did not win $5.00!,-51.80000000000002,1,39,0.5,0.0,nan,[],0.0,39,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,3500,0,49,49,49,,327.98504326699185,None,3500,330.0197112140013,None,None,330.0197112140013,None,1.5,50,333.5335029759881,None,None,0,333.5335029759881,None,You lost $0.20!,-52.00000000000002,5,40,0.5,0.0,nan,[0],0.0,39,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
